Grid-cell,Longitude,Latitude
1189,20.25,41.25
1190,20.75,41.25
1191,21.25,41.25
1192,21.75,41.25
1193,22.25,41.25
1194,22.75,41.25
1195,23.25,41.25
1196,23.75,41.25
1197,24.25,41.25
1198,24.75,41.25
1199,25.25,41.25
1200,25.75,41.25
1201,26.25,41.25
1202,26.75,41.25
1203,27.25,41.25
1204,27.75,41.25
1205,28.25,41.25
1206,28.75,41.25
1207,29.25,41.25
1208,31.75,41.25
1209,32.25,41.25
1210,32.75,41.25
1211,33.25,41.25
1212,33.75,41.25
1213,34.25,41.25
1214,34.75,41.25
1215,35.25,41.25
1216,35.75,41.25
1217,36.25,41.25
1218,36.75,41.25
1219,41.25,41.25
1220,41.75,41.25
1221,42.25,41.25
1222,42.75,41.25
1223,43.25,41.25
1224,43.75,41.25
1225,44.25,41.25
1226,44.75,41.25
1227,0.25,41.75
1228,0.75,41.75
1229,1.25,41.75
1230,1.75,41.75
1231,2.25,41.75
1232,2.75,41.75
1233,9.25,41.75
1234,13.25,41.75
1235,13.75,41.75
1236,14.25,41.75
1237,14.75,41.75
1238,15.25,41.75
1239,15.75,41.75
1240,20.25,41.75
1241,20.75,41.75
1242,21.25,41.75
1243,21.75,41.75
1244,22.25,41.75
1245,22.75,41.75
1246,23.25,41.75
1247,23.75,41.75
1248,24.25,41.75
1249,24.75,41.75
1250,25.25,41.75
1251,25.75,41.75
1252,26.25,41.75
1253,26.75,41.75
1254,27.25,41.75
1255,27.75,41.75
1256,32.75,41.75
1257,33.25,41.75
1258,33.75,41.75
1259,34.25,41.75
1260,34.75,41.75
1261,35.25,41.75
1262,42.25,41.75
1263,42.75,41.75
1264,43.25,41.75
1265,43.75,41.75
1266,44.25,41.75
1267,44.75,41.75
1268,0.25,42.25
1269,0.75,42.25
1270,1.25,42.25
1271,1.75,42.25
1272,2.25,42.25
1273,2.75,42.25
1274,9.25,42.25
1275,12.25,42.25
1276,12.75,42.25
1277,13.25,42.25
1278,13.75,42.25
1279,14.25,42.25
1280,19.75,42.25
1281,20.25,42.25
1282,20.75,42.25
1283,21.25,42.25
1284,21.75,42.25
1285,22.25,42.25
1286,22.75,42.25
1287,23.25,42.25
1288,23.75,42.25
1289,24.25,42.25
1290,24.75,42.25
1291,25.25,42.25
1292,25.75,42.25
1293,26.25,42.25
1294,26.75,42.25
1295,27.25,42.25
1296,27.75,42.25
1297,42.25,42.25
1298,42.75,42.25
1299,43.25,42.25
1300,43.75,42.25
1301,44.25,42.25
