STARTcounty,agr_share_1831,NrGentry,mills,copyhold_count_1850,market_1600,valordummy,mill,perc_catholics_1800,ind_share_1831
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.73500001,0,0,,,1,0,0,.22499999
BERKSHIRE,.95714283,0,0,,,0,0,0,0
BERKSHIRE,.61333334,0,0,,0,0,0,.11098266,.23999999
BERKSHIRE,.87619048,0,0,,,0,0,0,.10476191
BERKSHIRE,.80582523,1,0,,,0,0,0,.15533981
BERKSHIRE,.8369565,0,0,,,1,0,0,.043478262
BERKSHIRE,.3071253,2,0,,1,0,0,0,.42260441
BERKSHIRE,,1,0,,,0,0,,
BERKSHIRE,.68627453,0,0,,,0,0,0,.3137255
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,1,0,,,0,0,,
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.71929824,4,0,,,0,0,0,.21929824
BERKSHIRE,.765625,0,0,,,0,0,0,.21875
BERKSHIRE,.75384617,0,0,,,0,0,0,.13846155
BERKSHIRE,.69655174,0,0,,,1,0,.0053475937,.22758621
BERKSHIRE,.76978415,0,0,,,1,0,0,.071942449
BERKSHIRE,.8125,1,0,,0,0,0,0,.087499999
BERKSHIRE,,0,0,,,0,0,,
BUCKINGHAMSHIRE,.71428573,0,0,,,0,0,0,.14285715
BUCKINGHAMSHIRE,.80132449,0,0,,,1,0,0,.052980132
BUCKINGHAMSHIRE,.92338711,0,0,5,,1,0,0,.028225806
BUCKINGHAMSHIRE,,0,0,,,0,0,,
BUCKINGHAMSHIRE,.80000001,2,0,,0,0,0,0,.044444446
BUCKINGHAMSHIRE,.75155282,2,0,,,1,0,.035928145,.1552795
BUCKINGHAMSHIRE,.83749998,0,0,,,0,0,0,.1125
BUCKINGHAMSHIRE,.48109967,1,0,,1,0,0,0,.34020618
BUCKINGHAMSHIRE,.85185188,0,0,,,0,0,.31944445,0
BUCKINGHAMSHIRE,.64556962,0,0,,,1,0,0,.21518987
BUCKINGHAMSHIRE,.58333331,0,0,,,0,0,0,.125
BUCKINGHAMSHIRE,.82999998,1,0,,,1,0,.030690538,.14
BUCKINGHAMSHIRE,.70403588,1,0,,,1,0,0,.17937219
BUCKINGHAMSHIRE,.75,1,0,,,1,0,0,.17307693
BUCKINGHAMSHIRE,,1,0,,,0,0,,
BUCKINGHAMSHIRE,1,0,0,,,0,0,0,0
BUCKINGHAMSHIRE,.71980679,1,0,,,0,0,0,.17874396
BUCKINGHAMSHIRE,.97619045,0,0,,,0,0,0,0
BUCKINGHAMSHIRE,.86734694,2,0,,,0,0,0,.12244898
BUCKINGHAMSHIRE,.64356434,2,0,,,1,0,0,.24752475
BUCKINGHAMSHIRE,1,0,0,,,0,0,0,0
BUCKINGHAMSHIRE,1,1,0,,,0,0,0,0
BUCKINGHAMSHIRE,.8888889,1,0,,,0,0,0,.11111111
BUCKINGHAMSHIRE,.71428573,0,0,,,1,0,0,.25324675
BUCKINGHAMSHIRE,.76595747,1,0,,,1,0,0,.12765957
BUCKINGHAMSHIRE,1,0,0,,,0,0,0,0
BUCKINGHAMSHIRE,.65948278,1,0,,0,0,0,0,.21982759
BUCKINGHAMSHIRE,1,0,0,,,0,0,0,0
BUCKINGHAMSHIRE,.72857141,1,0,,,0,0,0,.12857144
BUCKINGHAMSHIRE,.78228784,2,0,2,0,1,0,0,.12177122
BUCKINGHAMSHIRE,.85416669,0,0,,0,1,0,0,.072916664
BUCKINGHAMSHIRE,.5,0,0,,,0,0,0,.16666667
BUCKINGHAMSHIRE,.76623374,0,0,,,0,0,0,.15584415
BUCKINGHAMSHIRE,.89473683,0,0,,,0,0,0,.052631579
BUCKINGHAMSHIRE,.72274143,2,0,,,1,0,0,.1682243
BUCKINGHAMSHIRE,.30241936,1,0,10,1,1,0,0,.30645162
BUCKINGHAMSHIRE,,1,0,,,1,0,,
,.37729257,0,0,,,0,0,0,.35458514
BUCKINGHAMSHIRE,,0,0,,,0,0,,
BUCKINGHAMSHIRE,.65346533,0,0,,,0,0,0,.1980198
BUCKINGHAMSHIRE,.57692307,1,0,,,1,0,0,.16153847
BUCKINGHAMSHIRE,.81481481,1,0,,,0,0,0,.098765433
