city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,1
Telford,52.6766,-2.4469,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,16.98350906,539.6531982,49.69880676,1699.699829,174.7463379,7137.028809,77.54531097
Tiverton,50.903,-3.488,0,1,1,2,1,3,3,4,5,7,7,7,11,1,0.5,0,0.333333333,0.75,2,1.333333333,3.945986271,110.3109589,35.34021759,1126.718384,112.3485947,6206.055664,31.33854675
Tynemouth,55.017,-1.423,0,0,0,0,0,0,0,0,0,1,4,13,29,,,,,,,,12.28691006,452.8279724,27.99856186,1256.718384,68.53136444,2846.266602,20.40147018
Wakefield,53.68,-1.49,0,1,1,2,1,3,3,2,2,2,4,11,22,1,0.5,0,-0.333333333,4.5,2,-0.333333333,15.75157547,707.7212524,57.41874695,2279.94873,198.5532684,7780.043945,67.40814972
Walsall,52.58,-1.98,1,1,2,2,1,2,3,4,5,6,8,10,26,1,0,0.5,0.333333333,1.5,2,1,2.897525787,63.94011688,55.16013336,1749.75293,247.5749359,10420.02734,89.8164978
Warminster,51.205,-2.181,1,1,1,1,1,2,2,2,3,3,5,7,8,0,1,0,0,2.5,1,0.5,9.073125839,466.2132874,62.5145607,3828.753418,211.1661377,14209.36523,51.40886307
Warrington,53.3917,-2.5972,0,0,0,0,0,0,0,0,1,2,4,11,21,,,,,,,,3.886942863,133.6448517,23.53604507,1150.568115,78.48985291,3160.525146,63.70477676
Warwick,52.28,-1.59,1,1,2,2,1,1,2,3,3,3,4,6,11,1,-0.5,1,0.5,1,1,0.5,24.55412674,909.0631104,90.77197266,3737.528564,282.6172791,14015.52441,68.278862
Wellington,52.7001,-2.5157,1,2,2,3,2,1,1,2,2,2,4,8,5,0.5,-0.666666667,0,1,3,-0.5,1,17.61583519,679.953186,49.36598206,1767.692749,160.7722626,6494.004883,73.77932739
Wellington,50.9755,-3.2243,1,2,2,3,2,1,1,2,2,2,4,8,5,0.5,-0.666666667,0,1,3,-0.5,1,10.95219231,482.9728699,49.00548172,2202.757568,129.6220245,7982.182129,35.3181572
West Bromwich,52.519,-1.995,0,1,1,1,1,1,1,1,1,1,2,6,35,0,0,0,0,5,0,0,6.484242439,207.7738647,60.04153824,2082.195557,251.6945648,11121.06738,88.31524658
West Ham,51.5347,0.0077,1,1,2,2,1,2,2,3,3,3,4,6,19,1,0,0,0.5,1,1,0.5,75.44293976,8706.435547,135.2085724,15627.48438,305.1283875,24981.66797,232.6682739
Whitby,54.4858,-0.6206,1,1,1,2,1,1,1,2,2,2,4,7,8,1,-0.5,0,1,2.5,0,1,7.849867821,443.9203491,25.67675209,926.9273071,108.8094559,4636.483887,17.40291977
Whitehaven,54.548,-3.5855,1,1,1,2,1,2,2,2,3,3,5,9,14,1,0,0,0,3.5,1,0.5,5.056676388,128.7438507,9.221582413,264.5174255,31.60785103,1415.415039,8.083200455
Wigan,53.5448,-2.6318,0,0,0,1,1,1,1,2,2,2,4,11,32,,0,0,1,4.5,0,1,3.844555616,54.27315903,21.3741436,598.1193237,71.08547211,2806.327637,57.61334991
Winchester,51.0632,-1.308,3,4,5,6,3,3,3,3,3,3,4,6,14,0.5,-0.5,0,0,1,0,0,24.22661018,2737.323486,64.31800079,4347.038086,184.0097046,10633.75391,46.59496689
