name,diocese,town,region,order,typeHouse,members,year,latitude,longitude,mother hou,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,founded,foundedSource
Lincoln,,Lincoln,6,Augustinian,Austin Friars,Friars,1539,53.238672,-0.538692,Lincoln,,,3,1,0,0,1,1,1.779102165,0,,LINCOLNSHIRE,,
Lindisfarne Priory,,Holy Island,2,Benedictine,,Monks,1536,55.669314,-1.800884,Durham,48,3.871201011,0,1,0,0,1,1,4.486831281,0,0,DURHAM,complicated,
Little Dunmow Priory,,Little Dunmow,7,Augustinian,,Canons,1536,51.865084,0.403823,,150,5.010635294,0,1,0,0,1,0,0.631259269,0,0,ESSEX,,
Little Malvern Priory,,Little Malvern,5,Benedictine,,Monks,1537,52.061371,-2.338579,Worcester,98,4.584967479,1,1,0,0,1,0,2.287911049,0,0,WORCESTERSHIRE,,
Little Marlow Priory,,Little Marlow,9,Benedictine,,Nuns,1536,51.5854,-0.7422,,23,3.135494216,0,1,0,0,1,0,0.628638187,1,23,BUCKINGHAMSHIRE,,
Llanthony Secunda Priory,,Gloucester,8,Augustinian,,Canons,1539,51.860439,-2.256875,,648,6.473890696,3,1,0,1,0,0,2.167294625,0,0,GLOUCESTERSHIRE,,
London,,London,10,Carmelites,,,1538,51.51365,-0.107738,,,,2,0,1,0,1,0,0.010986061,0,,MIDDLESEX,,
London Crutched Friars,,,10,Crutched Friars,,Friars,1538,51.510833,-0.078347,,,,2,0,1,0,1,0,0.039761727,0,,MIDDLESEX,,
Lossenham,,Lossenham,9,Carmelites,,,1538,51.020035,0.624213,,,,2,0,1,0,1,0,0.889434816,0,,KENT,,
Louth Park Abbey,,Louth,6,Cistercian,,Monks,1536,53.37657,0.027,Fountains,147,4.990432587,0,1,0,0,1,1,1.872201265,0,0,LINCOLNSHIRE,,
Ludgate,,London,10,Dominican,,Friars,1538,51.512778,-0.1025,London,,,2,0,1,0,1,0,0.015845418,0,,MIDDLESEX,,
Ludlow Austin Friars,,Ludlow,5,Augustinian,Austin Friars,Friars,1538,52.367854,-2.715225,,,,2,1,0,0,1,0,2.735136514,0,,SHROPSHIRE,,
Ludlow White Friars,,Ludlow,5,Carmelites,,,1538,52.370876,-2.721193,,,,2,0,1,0,1,0,2.741751384,0,,SHROPSHIRE,,
Lytham Priory,,Lytham,1,Benedictine,,Monks,1535,53.7441,-2.9768,Durham,48,3.871201011,-1,1,0,0,1,1,3.628135678,0,0,LANCASHIRE,1192,https://www.british-history.ac.uk/vch/lancs/vol2/pp107-111
Maiden Bradley Priory,,,8,Augustinian,,Canons,1536,51.162134,-2.288807,,180,5.192956851,0,1,0,0,1,0,2.198403883,0,0,WILTSHIRE,,
Maldon Whitefriars,,Maldon,7,Carmelites,,Friars,1538,51.730359,0.678084,,,,2,0,1,0,1,0,0.82611564,0,,ESSEX,,
Malling Abbey,,West Malling,9,Benedictine,,Nuns,1538,51.293333,0.412222,,218,5.384495063,2,1,0,1,0,0,0.572875216,1,218,KENT,,
Malmesbury Abbey,,Malmesbury,8,Benedictine,,Monks,1539,51.584687,-2.098315,,803,6.688354714,3,1,0,1,0,0,1.98162297,0,0,WILTSHIRE,,
Maltby Preceptory,,,6,Augustinian,Knights Hospitaller,,1540,53.340617,-0.036859,,34,3.526360525,4,1,0,0,1,1,1.832418812,0,0,LINCOLNSHIRE,,
Malton Priory,,,3,Gilbertine,,Canons,1539,54.142551,-0.779005,,197,5.283203729,3,0,1,0,1,1,2.714243944,0,0,"YORKSHIRE, NORTH RIDING",1151,"https://historicengland.org.uk/services-skills/education/educational-images/st-marys-priory-church-malton-7246 says 1147-1154, tagged to middle"
Maplestead Preceptory,,Little Maplestead,7,Augustinian,Knights Hospitaller,,1540,51.9748,0.6546,,77,4.343805422,4,1,0,0,1,0,0.901722979,0,0,ESSEX,,
Marham Abbey,,Marham,7,Cistercian,,Nuns,1536,52.659,0.5218,,39,3.663561646,0,1,0,0,1,0,1.315170335,1,39,NORFOLK,,
Markby Priory,,,6,Augustinian,,Canons,1536,53.285303,0.229726,,130,4.86753445,0,1,0,0,1,1,1.809056016,0,0,LINCOLNSHIRE,,
Markyate Priory,,Caddington,7,Benedictine,,Nuns,1537,51.84385,-0.46445,,114,4.736198448,1,1,0,0,1,0,0.481055241,1,114,HERTFORDSHIRE,,
