Grid-cell,Longitude,Latitude,pdsi_1535,pdsi_1536,pdsi_1535x1536,pdsi_avg_1yr,pdsi_ext_1yr,pdsi_avg_2yr,pdsi_ext_2yr,pdsi_avg_3yr,pdsi_ext_3yr,pdsi_avg_5yr,pdsi_ext_5yr,pdsi_avg_10yr,pdsi_ext_10yr,bng_x,bng_y
4033,14.75,62.75,1.26,0.858,1.08108,-0.858,0.858,-1.059,1.059,-1.4323333333333332,1.4323333333333332,-0.5222,1.1965999999999999,0.049200000000000035,1.0154,1248408.8361051315,1541518.380450823
4034,15.25,62.75,-2.435,-0.569,1.3855149999999998,0.569,0.569,1.502,1.502,0.8433333333333334,1.1593333333333333,0.3798,0.9602,0.9238,1.214,1273278.830528413,1548278.2325145719
4035,15.75,62.75,-1.367,0.777,-1.062159,-0.777,0.777,0.295,1.072,-0.5323333333333333,1.4436666666666664,-0.6798,1.4322,0.09219999999999998,1.1482,1298107.7314689397,1555238.1315089813
4036,16.25,62.75,0.41,1.422,0.58302,-1.422,1.422,-0.9159999999999999,0.9159999999999999,-1.4773333333333334,1.4773333333333334,-1.2768,1.5984,-0.3271,1.3443,1322894.220277851,1562398.1618789881
4037,16.75,62.75,0.965,1.972,1.90298,-1.972,1.972,-1.4685,1.4685,-2.0546666666666664,2.0546666666666664,-1.5539999999999998,1.7427999999999997,-0.5689,1.3394999999999997,1347636.9676689652,1569758.407266109
4038,17.25,62.75,0.784,1.153,0.9039520000000001,-1.153,1.153,-0.9685,0.9685,-1.777,1.777,-1.3262,1.5861999999999998,-0.17120000000000005,1.4148,1372334.6334634188,1577318.9502315742
4039,17.75,62.75,-0.737,0.282,-0.20783399999999996,-0.282,0.282,0.2275,0.5095,-0.301,0.7923333333333334,-0.4774,0.7722,-0.47479999999999994,0.8922000000000001,1396985.8663385478,1585079.871971188
4040,18.25,62.75,-1.209,0.634,-0.766506,-0.634,0.634,0.28750000000000003,0.9215,-0.3866666666666667,1.1926666666666665,-0.10999999999999999,0.8376000000000001,-0.067,0.8019999999999999,1421589.3035811924,1593041.2520218703
4041,21.75,62.75,1.416,2.321,3.286536,-2.321,2.321,-1.8685,1.8685,-2.3706666666666667,2.3706666666666667,-1.1992,2.064,-0.19460000000000005,1.5182,1592358.117119609,1654389.93453999
4042,22.25,62.75,1.014,1.983,2.010762,-1.983,1.983,-1.4985,1.4985,-1.7776666666666667,1.7776666666666667,-0.9338000000000001,1.5558,0.15020000000000003,1.395,1616528.6872096045,1663957.5418925954
4043,22.75,62.75,0.772,1.786,1.378792,-1.786,1.786,-1.279,1.279,-1.5706666666666667,1.5706666666666667,-0.6942,1.5282,0.4991,1.6102999999999998,1640638.646423016,1673726.1961845276
4044,23.25,62.75,0.762,1.899,1.447038,-1.899,1.899,-1.3305,1.3305,-1.7166666666666668,1.7166666666666668,-0.9474,1.5778,0.2258,1.4884,1664686.5056936687,1683695.9423847438
4045,23.75,62.75,-1.149,0.183,-0.210267,-0.183,0.183,0.483,0.666,-0.38233333333333336,1.1483333333333332,-0.1592,1.2284000000000002,0.722,1.4158000000000002,1688670.7622030282,1693866.820023055
4046,24.25,62.75,1.139,1.987,2.2631930000000002,-1.987,1.987,-1.5630000000000002,1.5630000000000002,-1.9166666666666667,1.9166666666666667,-0.9486000000000001,1.6518000000000002,0.35629999999999995,1.6564999999999999,1712589.8992033952,1704238.862796213
4047,24.75,62.75,2.299,3.657,8.407443,-3.657,3.657,-2.9779999999999998,2.9779999999999998,-2.9516666666666667,2.9516666666666667,-1.2328,2.3091999999999997,0.06660000000000003,1.8375999999999997,1736442.3858484968,1714812.098165717
4048,25.25,62.75,1.278,2.73,3.48894,-2.73,2.73,-2.004,2.004,-1.9489999999999998,1.9489999999999998,-0.6242,1.7146000000000001,0.5726999999999999,1.7421,1760226.6770317336,1725586.5469473682
4049,25.75,62.75,0.345,2.112,0.72864,-2.112,2.112,-1.2285,1.2285,-1.3953333333333333,1.3953333333333333,-0.33140000000000003,1.343,0.6199999999999999,1.4572,1783941.213232363,1736562.2228925677
4050,26.25,62.75,2.215,3.492,7.73478,-3.492,3.492,-2.8535,2.8535,-2.8333333333333335,2.8333333333333335,-1.175,2.225,0.045399999999999975,1.7454,1807584.4203698968,1747739.1322614758
4051,26.75,62.75,1.841,3.223,5.933542999999999,-3.223,3.223,-2.532,2.532,-2.5306666666666664,2.5306666666666664,-0.9324,2.1044,0.3224,1.8407999999999998,1831154.7096669897,1759117.2733880563
4052,27.25,62.75,1.684,0.637,1.072708,-0.637,0.637,-1.1604999999999999,1.1604999999999999,-1.4313333333333336,1.4313333333333336,-0.3924,1.3252,0.6192,1.478,1854650.4775211224,1770696.6362370648
4053,28.25,62.75,0.691,0.077,0.053207,-0.077,0.077,-0.38399999999999995,0.38399999999999995,-0.5323333333333333,0.5323333333333333,0.6776,1.3163999999999998,1.2302,1.5496000000000003,1901411.9596584577,1794458.942401694
4054,28.75,62.75,1.468,1.325,1.9450999999999998,-1.325,1.325,-1.3965,1.3965,-1.2666666666666666,1.2666666666666666,0.028400000000000113,1.5484,0.7207,1.4807,1924674.3915847358,1806641.8197027913
4055,29.25,62.75,1.055,1.059,1.1172449999999998,-1.059,1.059,-1.057,1.057,-1.0783333333333334,1.0783333333333334,0.10460000000000003,1.3985999999999998,0.4215,1.1208999999999998,1947855.7371638264,1819025.7857563123
4056,30.25,62.75,4.149,3.762,15.608538,-3.762,3.762,-3.9555,3.9555,-3.248666666666667,3.248666666666667,-1.2398,2.6586,-0.3488,1.6742000000000001,1993968.4365869125,1844396.737721701
